[2025-09-02 21:30:03 +0700] [15524] [INFO] Starting gunicorn 23.0.0
[2025-09-02 21:30:03 +0700] [15524] [ERROR] Connection in use: ('127.0.0.1', 8000)
[2025-09-02 21:30:03 +0700] [15524] [ERROR] connection to ('127.0.0.1', 8000) failed: [Errno 48] Address already in use
[2025-09-02 21:30:04 +0700] [15524] [ERROR] Connection in use: ('127.0.0.1', 8000)
[2025-09-02 21:30:04 +0700] [15524] [ERROR] connection to ('127.0.0.1', 8000) failed: [Errno 48] Address already in use
[2025-09-02 21:30:05 +0700] [15524] [ERROR] Connection in use: ('127.0.0.1', 8000)
[2025-09-02 21:30:05 +0700] [15524] [ERROR] connection to ('127.0.0.1', 8000) failed: [Errno 48] Address already in use
[2025-09-02 21:30:06 +0700] [15524] [ERROR] Connection in use: ('127.0.0.1', 8000)
[2025-09-02 21:30:06 +0700] [15524] [ERROR] connection to ('127.0.0.1', 8000) failed: [Errno 48] Address already in use
[2025-09-02 21:30:07 +0700] [15524] [ERROR] Connection in use: ('127.0.0.1', 8000)
[2025-09-02 21:30:07 +0700] [15524] [ERROR] connection to ('127.0.0.1', 8000) failed: [Errno 48] Address already in use
[2025-09-02 21:30:08 +0700] [15524] [ERROR] Can't connect to ('127.0.0.1', 8000)
[2025-09-02 21:30:27 +0700] [15636] [INFO] Starting gunicorn 23.0.0
[2025-09-02 21:30:27 +0700] [15636] [ERROR] Connection in use: ('127.0.0.1', 8000)
[2025-09-02 21:30:27 +0700] [15636] [ERROR] connection to ('127.0.0.1', 8000) failed: [Errno 48] Address already in use
[2025-09-02 21:30:28 +0700] [15636] [ERROR] Connection in use: ('127.0.0.1', 8000)
[2025-09-02 21:30:28 +0700] [15636] [ERROR] connection to ('127.0.0.1', 8000) failed: [Errno 48] Address already in use
[2025-09-02 21:30:29 +0700] [15636] [ERROR] Connection in use: ('127.0.0.1', 8000)
[2025-09-02 21:30:29 +0700] [15636] [ERROR] connection to ('127.0.0.1', 8000) failed: [Errno 48] Address already in use
[2025-09-02 21:30:30 +0700] [15636] [ERROR] Connection in use: ('127.0.0.1', 8000)
[2025-09-02 21:30:30 +0700] [15636] [ERROR] connection to ('127.0.0.1', 8000) failed: [Errno 48] Address already in use
[2025-09-02 21:30:31 +0700] [15636] [ERROR] Connection in use: ('127.0.0.1', 8000)
[2025-09-02 21:30:31 +0700] [15636] [ERROR] connection to ('127.0.0.1', 8000) failed: [Errno 48] Address already in use
[2025-09-02 21:30:32 +0700] [15636] [ERROR] Can't connect to ('127.0.0.1', 8000)
